VALIDATOR_NAME,STATUS,OPERATOR_ADDRESS,ASACCOUNT_ADDRESS,VOTING_POWER,STAKED_AMOUNT,SELF_DELEGATION_AMOUNT,COMMISSION
Lavender.Five Nodes 🐝,Active,terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9,terra1vcd42qfvlvnjwaw7hvl6y32wrzqxvas657gpqk,0.23,1239504,95.639,5
PFC - Panama Flower Company,Active,terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,terra1hr7svdp2rga9vf3ry95sx7g5wyspgwmg94qac8,1.01,5354377,102,5
SafePoint,Active,terravaloper1wuqf6xq54n5n4hus2wn849ttx02xznvj0ewmxp,terra1wuqf6xq54n5n4hus2wn849ttx02xznvj0kzxkj,0.65,4036267,240,10
dacm,Active,terravaloper14yeuqqg2e2fc2mcrghuqxh0w43xshpzrhnhz86,terra14yeuqqg2e2fc2mcrghuqxh0w43xshpzrhumlhf,0.56,2955452,91,5
manago.cloud,Inactive,terravaloper12qqr5crucyzfxduu2a9glqsuvvadw9828uw9nj,terra12qqr5crucyzfxduu2a9glqsuvvadw9828nzcrp,0,0,1,1
White Whale,Active,terravaloper1wr0p7dzss74wfmzfqm8r65mk26efg5zhzpm77s,terra1wr0p7dzss74wfmzfqm8r65mk26efg5zhzwhrwr,0.94,5033756,640.031411,10
kytzu,Active,terravaloper1urzdtmrl3sg3zt65jzr9mw70tsen578w2yfjl4,terra1urzdtmrl3sg3zt65jzr9mw70tsen578w2t900x,0.34,1832479,16000,10
Top Shelf,Active,terravaloper1a98g7kjemhgvmu4zyddnrv8fgccd4keac0w38t,terra1a98g7kjemhgvmu4zyddnrv8fgccd4keacqzvhc,0.59,3154447,1,10
TerraDactyl,Active,terravaloper1axr9pdaf5u0jryrlzhs4twvyaj4rr49mmvywn8,terra1axr9pdaf5u0jryrlzhs4twvyaj4rr49mmrgnr5,0.88,4528182,1,10
Synergy Nodes,Active,terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6,terra1tm0xkark2ufecmdhgaaw7gqsycyt4qag6wg6kf,0.65,3472425,1,5
moonshot,Active,terravaloper1l9mchtvqgvpyskgtemsrkjn0e57a7wm6c863uj,terra1l9mchtvqgvpyskgtemsrkjn0e57a7wm6cgkvvp,0.43,2278112,1,5
Electron Labs,Jailed,terravaloper1yejn4qj9uy7xw9e2z5328uxxm5jzgu3etm9v4q,terra1yejn4qj9uy7xw9e2z5328uxxm5jzgu3et5f39n,0,2181598,390,8
TTLG Money,Active,terravaloper1t3zvwaz7v3epg3f33waxajv4nj95mt8ma9yc7g,terra1t3zvwaz7v3epg3f33waxajv4nj95mt8ma2g9wm,0.81,4311171,1,5
Luna Burn Club,Inactive,terravaloper1s3q7rzhnkhrhf2fn6c8026sm6hexnhu6cx22x7,terra1s3q7rzhnkhrhf2fn6c8026sm6hexnhu6cfxhkd,0,0,1,5
Aardvark,Active,terravaloper1wzvgc8j840qtsfsa55kuf9cypqwa2tqnkrduqx,terra1wzvgc8j840qtsfsa55kuf9cypqwa2tqnkvpps4,1.47,7714693,1,4
TheNFTProject,Active,terravaloper1ltegerwren4tcaxpwxpkgs94ztnrcu0sk9cajz,terra1ltegerwren4tcaxpwxpkgs94ztnrcu0sk25qz3,1.26,6521851,5,100
Goliath,Active,terravaloper1chzrxuuajgp4huaanpwuz63xtc2wyq3mfzpk5f,terra1chzrxuuajgp4huaanpwuz63xtc2wyq3mfddty6,0.66,3265792,1,9
syncnode,Active,terravaloper1e4sju9ya52l8ndjcneut4hg52y228360j0w86r,terra1e4sju9ya52l8ndjcneut4hg52y228360jqz62s,1.35,7241574,405,10
Clorophilla,Inactive,terravaloper1cehw6u08tyxyyygy04eftqnswd0f2c2zsprc9t,terra1cehw6u08tyxyyygy04eftqnswd0f2c2zsw094c,0,0,1,7
Cros-Nest,Active,terravaloper1ktu7a6wqlk6vlywf4rt6wfcxuphc0es27p0qvx,terra1ktu7a6wqlk6vlywf4rt6wfcxuphc0es27wrau4,0.65,3485156,2515.637856,6
UST Zone | powered by FatMan,Jailed,terravaloper1e69j0asssglm4nccrw2hk9vzl9mrqq8jrwxwlu,terra1e69j0asssglm4nccrw2hk9vzl9mrqq8jrp2n00,0,0,0,10
Gidorah,Active,terravaloper13qjxhnw98lm36rxc9yjakkmulhpv7zctdhcl03,terra13qjxhnw98lm36rxc9yjakkmulhpv7zctdc5zlz,1.17,6257187,1,5
KingSuper,Active,terravaloper1yh4u76y405t3ff9lyrzhhe8legjx9k3as5mujs,terra1yh4u76y405t3ff9lyrzhhe8legjx9k3asmhpzr,0.77,4077871,99,10
TdrSys,Active,terravaloper1cs0dspacdhym4cwcm3f7suurfszvl6k5s9p06a,terra1cs0dspacdhym4cwcm3f7suurfszvl6k5s2dj2w,0.87,4693293,820,5
Vixello,Inactive,terravaloper13qm5xdmvnexxjplw0dvmxcvqmxqscpavtpm2nn,terra13qm5xdmvnexxjplw0dvmxcvqmxqscpavtwhhrq,0,0,2,1
Terrascope,Active,terravaloper1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09u4exq,terra1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09neykn,0.46,7320505,1,0
🙏 uGaenn ⛅,Active,terravaloper1cl8j3r09vmlxf5zsq4xms7td8x2qcfml8637yf,terra1cl8j3r09vmlxf5zsq4xms7td8x2qcfml84ar56,0.88,4598746,931,5
Luna Station 88,Active,terravaloper1ccwgk6gvgtm556gxe0v79p48nrgsey05w3fle4,terra1ccwgk6gvgtm556gxe0v79p48nrgsey05w79zfx,0.7,3798182,88,5
ISS,Active,terravaloper17q3y0exn6ndxkf78rcvj70gp7mrezmdx4z54xu,terra17q3y0exn6ndxkf78rcvj70gp7mrezmdx4dcgk0,1.06,5594673,1,4
Ceres Ventures,Active,terravaloper1q8w4u2wyhx574m70gwe8km5za2ptanny9mnqy3,terra1q8w4u2wyhx574m70gwe8km5za2ptanny95la5z,0.86,4456908,113.728075,5
PigCash,Active,terravaloper1r98p8xdrn68fxslfv3fey5sfuqfs8tuth0m67l,terra1r98p8xdrn68fxslfv3fey5sfuqfs8tuthqh8wv,0.33,1751646,399.96,19
AutoStake 🛡️ Slash Protected,Active,terravaloper1yy5379nk24xffpq4egw7ue4ad3j7l79ma2enmz,terra1yy5379nk24xffpq4egw7ue4ad3j7l79ma94wt3,0.71,4210907,100,3
Centauri Alpha,Active,terravaloper1fs8g3mlg3f4f4yrckvwk7dk4lt3nv4gtx2uqwj,terra1fs8g3mlg3f4f4yrckvwk7dk4lt3nv4gtx9sa7p,1.02,5415235,1,4
stakingcabin,Active,terravaloper1jveyrzquwrt0txanmhg7jdhf2q4ry28k2esps4,terra1jveyrzquwrt0txanmhg7jdhf2q4ry28k2kuuqx,0.43,2327067,99,5
Terra Rebirth 0%,Jailed,terravaloper10q8xdprmkefzuxkr8lms7frga7ww7c8kmpdw3q,terra10q8xdprmkefzuxkr8lms7frga7ww7c8kmwpnpn,0,0,0,0
WhisperNode🤐 | REStake + 100% MEV to Stakers 💵,Active,terravaloper1pwum4swah9t5mjynalk3f334v4ztxc66k29v25,terra1pwum4swah9t5mjynalk3f334v4ztxc66k9f368,0.31,1645683,1,5
Kiki Finance,Active,terravaloper1kcsunyhnhmnc0afrrynd7qfzykmhm3w5ely6fh,terra1kcsunyhnhmnc0afrrynd7qfzykmhm3w5esg8ey,0.72,2787045,1,10
Genesis Lab,Active,terravaloper1tfy452kxfcsa2353nenltade9esj7ffrc38gwn,terra1tfy452kxfcsa2353nenltade9esj7ffrc7t47q,0.83,4443939,90,7
MCF,Active,terravaloper1uy69jhptztw02z03qnh430d2vsmh937gy55pkm,terra1uy69jhptztw02z03qnh430d2vsmh937gymcuxg,0.47,2500578,93.612833,20
Y,Active,terravaloper18pmvpy25zc7x0u8ppefuyyl2zaafe2wut0nm5e,terra18pmvpy25zc7x0u8ppefuyyl2zaafe2wutqlxy2,0.88,4697300,100,5
HappyLunatic,Active,terravaloper1mh6zgqltndg3jq2unqh4nldgameavpm6pzdk8v,terra1mh6zgqltndg3jq2unqh4nldgameavpm6pdpthl,0.52,2690526,5,5
High Stakes 🇨🇭,Active,terravaloper1pgyelqv0hwjavgf6vhdm4e4pt766wfxxczu20l,terra1pgyelqv0hwjavgf6vhdm4e4pt766wfxxcdshlv,0.69,3706020,1,10
Nexus Event,Active,terravaloper1ltn4ah8k5a2alm9ekgf0e90zmt26kq6nztzatm,terra1ltn4ah8k5a2alm9ekgf0e90zmt26kq6nzywqmg,0.36,1951873,1,5
